"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.528928,,
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,8.506017,,
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.38762,,
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,7.995237,,
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,7.20228,,
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,6.700534,,
"FRA","France","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,6.75,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,10.175,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,9.475,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,8.125,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,7.175,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,6.346198,"B","Break"
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,5.627408,"B","Break"
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.759282,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,4.485096,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.240286,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,4.021792,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,3.701247,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.249228,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.85543,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.549818,,
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.398302,"B","Break"
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.966222,"U","Low reliability"
"DEU","Germany","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.925,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.55,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.125,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.325,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PC","Percentage","0","Units",,,3.525,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PC","Percentage","0","Units",,,3.175,"B","Break"
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.225,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.575,"B","Break"
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.375,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.875,"B","Break"
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,8.384275,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,10.25038,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,11.60064,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,11.7666,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,11.25906,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,9.907504,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.121359,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.073099,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.42291,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.885257,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.97228,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,4.745843,,
"IRL","Ireland","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.825,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PC","Percentage","0","Units",,,13.425,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PC","Percentage","0","Units",,,13.05,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PC","Percentage","0","Units",,,12.075,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PC","Percentage","0","Units",,,11.1,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PC","Percentage","0","Units",,,10.5,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PC","Percentage","0","Units",,,9.975,"B","Break"
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PC","Percentage","0","Units",,,9.175,"B","Break"
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,8.925,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,7.8,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,7.1,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,7.725,"B","Break"
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,8.496152,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.970245,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,8.854896,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,11.06742,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,12.45851,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,13.24104,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,12.22335,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,12.45272,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,12.29377,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,11.79757,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,11.25494,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,10.51498,,
"ITA","Italy","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,10.65,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1980","1980","PC","Percentage","0","Units",,,1.91366,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1981","1981","PC","Percentage","0","Units",,,1.954085,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1982","1982","PC","Percentage","0","Units",,,2.102777,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1983","1983","PC","Percentage","0","Units",,,2.513782,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1984","1984","PC","Percentage","0","Units",,,2.600431,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1985","1985","PC","Percentage","0","Units",,,2.482212,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1986","1986","PC","Percentage","0","Units",,,2.601815,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1987","1987","PC","Percentage","0","Units",,,2.620494,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1988","1988","PC","Percentage","0","Units",,,2.407692,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PC","Percentage","0","Units",,,2.133777,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PC","Percentage","0","Units",,,2.043699,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PC","Percentage","0","Units",,,2.064838,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PC","Percentage","0","Units",,,2.109718,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.425363,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.806695,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PC","Percentage","0","Units",,,3.027367,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PC","Percentage","0","Units",,,3.092023,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PC","Percentage","0","Units",,,3.262419,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PC","Percentage","0","Units",,,3.871776,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PC","Percentage","0","Units",,,4.382739,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.376341,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.601753,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PC","Percentage","0","Units",,,5.181406,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.914133,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PC","Percentage","0","Units",,,4.454593,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.411306,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.91698,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.837353,,
"JPN","Japan","LRUN25FE","Unemployment rate, Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.071626,,
